Serial Capture Session Started - 2025-10-14 21:22:17.899
Port 1: COM7, Port 2: COM15, Baud: 57600
================================================================================
[2025-10-14 21:22:29.665] COM7 → COM15: 54 (T)
[2025-10-14 21:22:29.667] COM15 → COM7: 54 (T)
[2025-10-14 21:22:29.668] COM7 → COM15: 72 (r)
[2025-10-14 21:22:29.676] COM15 → COM7: 72 (r)
[2025-10-14 21:22:29.677] COM7 → COM15: 4D (M)
[2025-10-14 21:22:29.679] COM15 → COM7: 4D (M)
[2025-10-14 21:22:29.681] COM7 → COM15: 45 (E)
[2025-10-14 21:22:29.683] COM15 → COM7: 45 (E)
[2025-10-14 21:22:29.933] COM7 → COM15: 59 (Y)
[2025-10-14 21:22:29.934] COM15 → COM7: 59 (Y)
[2025-10-14 21:22:29.936] COM7 → COM15: 51 (Q)
[2025-10-14 21:22:29.936] COM15 → COM7: 51 (Q)
[2025-10-14 21:22:30.076] COM15 → COM7: 4F (O)
[2025-10-14 21:22:30.101] COM7 → COM15: 57 (W)
[2025-10-14 21:22:30.513] COM15 → COM7: 57 (W)
[2025-10-14 21:22:30.514] COM7 → COM15: 46 (F)
[2025-10-14 21:22:30.516] COM15 → COM7: 46 (F)
[2025-10-14 21:22:30.518] COM7 → COM15: 46 (F)
[2025-10-14 21:22:30.519] COM15 → COM7: 46 (F)
[2025-10-14 21:22:30.521] COM7 → COM15: 46 (F)
[2025-10-14 21:22:30.522] COM15 → COM7: 46 (F)
[2025-10-14 21:22:30.524] COM7 → COM15: 45 (E)
[2025-10-14 21:22:30.525] COM15 → COM7: 45 (E)
[2025-10-14 21:22:30.527] COM7 → COM15: 44 (D)
[2025-10-14 21:22:30.528] COM15 → COM7: 44 (D)
[2025-10-14 21:22:30.529] COM7 → COM15: 30 (0)
[2025-10-14 21:22:30.531] COM15 → COM7: 30 (0)
[2025-10-14 21:22:30.533] COM7 → COM15: 30 (0)
[2025-10-14 21:22:30.534] COM15 → COM7: 30 (0)
[2025-10-14 21:22:30.536] COM7 → COM15: 30 (0)
[2025-10-14 21:22:30.537] COM15 → COM7: 30 (0)
[2025-10-14 21:22:30.539] COM7 → COM15: 41 (A)
[2025-10-14 21:22:30.540] COM15 → COM7: 41 (A)
[2025-10-14 21:22:30.542] COM7 → COM15: 31 (1)
[2025-10-14 21:22:30.543] COM15 → COM7: 31 (1)
[2025-10-14 21:22:30.546] COM7 → COM15: 3F (?)
[2025-10-14 21:22:31.049] COM15 → COM7: 3F (?)

[2025-10-14 21:22:31.051] COM7 → COM15: 52 (R)
[2025-10-14 21:22:31.052] COM15 → COM7: 52 (R)
[2025-10-14 21:22:31.054] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.056] COM15 → COM7: 46 (F)
[2025-10-14 21:22:31.057] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.059] COM15 → COM7: 46 (F)
[2025-10-14 21:22:31.060] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.061] COM15 → COM7: 46 (F)
[2025-10-14 21:22:31.063] COM7 → COM15: 45 (E)
[2025-10-14 21:22:31.064] COM15 → COM7: 45 (E)
[2025-10-14 21:22:31.066] COM7 → COM15: 44 (D)
[2025-10-14 21:22:31.067] COM15 → COM7: 44 (D)
[2025-10-14 21:22:31.069] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.070] COM15 → COM7: 30 (0)

[2025-10-14 21:22:31.071] COM15 → COM7: 30 30 30 (000)
[2025-10-14 21:22:31.082] COM15 → COM7: 32 30 30 30 (2000)
[2025-10-14 21:22:31.706] COM15 → COM7: 30 30 30 34 30 30 30 30 30 30 30 38 33 30 30 36 33 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 33 30 30 30 30 30 31 41 30 30 30 30 30 30 30 4F (0004000000083006300000000000000000000000003000001A0000000O)

[2025-10-14 21:22:31.709] COM7 → COM15: 57 (W)
[2025-10-14 21:22:31.710] COM15 → COM7: 57 (W)
[2025-10-14 21:22:31.712] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.714] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.716] COM7 → COM15: 32 (2)
[2025-10-14 21:22:31.717] COM15 → COM7: 32 (2)
[2025-10-14 21:22:31.719] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.720] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.721] COM7 → COM15: 31 (1)
[2025-10-14 21:22:31.723] COM15 → COM7: 31 (1)
[2025-10-14 21:22:31.724] COM7 → COM15: 44 (D)
[2025-10-14 21:22:31.725] COM15 → COM7: 44 (D)
[2025-10-14 21:22:31.727] COM7 → COM15: 43 (C)
[2025-10-14 21:22:31.728] COM15 → COM7: 43 (C)
[2025-10-14 21:22:31.730] COM7 → COM15: 32 (2)
[2025-10-14 21:22:31.731] COM15 → COM7: 32 (2)
[2025-10-14 21:22:31.733] COM7 → COM15: 42 (B)
[2025-10-14 21:22:31.734] COM15 → COM7: 42 (B)
[2025-10-14 21:22:31.736] COM7 → COM15: 3F (?)
[2025-10-14 21:22:31.737] COM15 → COM7: 3F (?)

[2025-10-14 21:22:31.738] COM7 → COM15: 57 (W)
[2025-10-14 21:22:31.739] COM15 → COM7: 57 (W)
[2025-10-14 21:22:31.741] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.742] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.744] COM7 → COM15: 32 (2)
[2025-10-14 21:22:31.745] COM15 → COM7: 32 (2)
[2025-10-14 21:22:31.747] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.748] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.749] COM7 → COM15: 31 (1)
[2025-10-14 21:22:31.751] COM15 → COM7: 31 (1)
[2025-10-14 21:22:31.752] COM7 → COM15: 45 (E)
[2025-10-14 21:22:31.753] COM15 → COM7: 45 (E)
[2025-10-14 21:22:31.755] COM7 → COM15: 31 (1)
[2025-10-14 21:22:31.756] COM15 → COM7: 31 (1)
[2025-10-14 21:22:31.758] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.759] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.760] COM7 → COM15: 31 (1)
[2025-10-14 21:22:31.761] COM15 → COM7: 31 (1)
[2025-10-14 21:22:31.763] COM7 → COM15: 3F (?)
[2025-10-14 21:22:31.764] COM15 → COM7: 3F (?)

[2025-10-14 21:22:31.766] COM7 → COM15: 57 (W)
[2025-10-14 21:22:31.767] COM15 → COM7: 57 (W)
[2025-10-14 21:22:31.769] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.770] COM15 → COM7: 46 (F)
[2025-10-14 21:22:31.772] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.773] COM15 → COM7: 46 (F)
