Serial Capture Session Started - 2025-10-14 21:18:16.017
Port 1: COM7, Port 2: COM15, Baud: 57600
================================================================================
[2025-10-14 21:18:19.644] COM7 → COM15: 54 (T)
[2025-10-14 21:18:19.646] COM15 → COM7: 54 (T)
[2025-10-14 21:18:19.657] COM7 → COM15: 72 (r)
[2025-10-14 21:18:19.658] COM15 → COM7: 72 (r)
[2025-10-14 21:18:19.660] COM7 → COM15: 4D (M)
[2025-10-14 21:18:19.666] COM15 → COM7: 4D (M)
[2025-10-14 21:18:19.667] COM7 → COM15: 45 (E)
[2025-10-14 21:18:19.670] COM15 → COM7: 45 (E)
[2025-10-14 21:18:19.920] COM7 → COM15: 59 (Y)
[2025-10-14 21:18:19.921] COM15 → COM7: 59 (Y)
[2025-10-14 21:18:19.923] COM7 → COM15: 51 (Q)
[2025-10-14 21:18:19.924] COM15 → COM7: 51 (Q)
[2025-10-14 21:18:20.064] COM15 → COM7: 4F (O)
[2025-10-14 21:18:20.066] COM7 → COM15: 57 (W)
[2025-10-14 21:18:20.500] COM15 → COM7: 57 (W)
[2025-10-14 21:18:20.501] COM7 → COM15: 46 (F)
[2025-10-14 21:18:20.503] COM15 → COM7: 46 (F)
[2025-10-14 21:18:20.505] COM7 → COM15: 46 (F)
[2025-10-14 21:18:20.506] COM15 → COM7: 46 (F)
[2025-10-14 21:18:20.508] COM7 → COM15: 46 (F)
[2025-10-14 21:18:20.509] COM15 → COM7: 46 (F)
[2025-10-14 21:18:20.511] COM7 → COM15: 45 (E)
[2025-10-14 21:18:20.512] COM15 → COM7: 45 (E)
[2025-10-14 21:18:20.514] COM7 → COM15: 44 (D)
[2025-10-14 21:18:20.515] COM15 → COM7: 44 (D)
[2025-10-14 21:18:20.516] COM7 → COM15: 30 (0)
[2025-10-14 21:18:20.518] COM15 → COM7: 30 (0)
[2025-10-14 21:18:20.519] COM7 → COM15: 30 (0)
[2025-10-14 21:18:20.521] COM15 → COM7: 30 (0)
[2025-10-14 21:18:20.522] COM7 → COM15: 30 (0)
[2025-10-14 21:18:20.523] COM15 → COM7: 30 (0)
[2025-10-14 21:18:20.525] COM7 → COM15: 41 (A)
[2025-10-14 21:18:20.526] COM15 → COM7: 41 (A)
[2025-10-14 21:18:20.528] COM7 → COM15: 31 (1)
[2025-10-14 21:18:20.529] COM15 → COM7: 31 (1)
[2025-10-14 21:18:20.531] COM7 → COM15: 3F (?)
[2025-10-14 21:18:21.035] COM15 → COM7: 3F (?)
[2025-10-14 21:18:21.037] COM7 → COM15: 52 (R)
[2025-10-14 21:18:21.038] COM15 → COM7: 52 (R)
[2025-10-14 21:18:21.040] COM7 → COM15: 46 (F)
[2025-10-14 21:18:21.041] COM15 → COM7: 46 (F)
[2025-10-14 21:18:21.043] COM7 → COM15: 46 (F)
[2025-10-14 21:18:21.044] COM15 → COM7: 46 (F)
[2025-10-14 21:18:21.046] COM7 → COM15: 46 (F)
[2025-10-14 21:18:21.047] COM15 → COM7: 46 (F)
[2025-10-14 21:18:21.049] COM7 → COM15: 45 (E)
[2025-10-14 21:18:21.050] COM15 → COM7: 45 (E)
[2025-10-14 21:18:21.051] COM7 → COM15: 44 (D)
[2025-10-14 21:18:21.053] COM15 → COM7: 44 (D)
[2025-10-14 21:18:21.054] COM7 → COM15: 30 (0)
[2025-10-14 21:18:21.056] COM15 → COM7: 30 (0)
[2025-10-14 21:18:21.057] COM15 → COM7: 30 30 30 32 (0002)
[2025-10-14 21:18:21.075] COM15 → COM7: 30 30 30 30 30 30 34 30 30 30 30 (00000040000)
[2025-10-14 21:18:21.674] COM15 → COM7: 30 30 30 38 33 30 30 36 33 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 33 30 30 30 30 30 31 41 30 30 30 30 30 30 30 4F (00083006300000000000000000000000003000001A0000000O)
[2025-10-14 21:18:21.676] COM7 → COM15: 57 (W)
[2025-10-14 21:18:21.677] COM15 → COM7: 57 (W)
[2025-10-14 21:18:21.679] COM7 → COM15: 30 (0)
[2025-10-14 21:18:21.681] COM15 → COM7: 30 (0)
[2025-10-14 21:18:21.682] COM7 → COM15: 32 (2)
[2025-10-14 21:18:21.684] COM15 → COM7: 32 (2)
[2025-10-14 21:18:21.685] COM7 → COM15: 30 (0)
[2025-10-14 21:18:21.686] COM15 → COM7: 30 (0)
[2025-10-14 21:18:21.688] COM7 → COM15: 31 (1)
[2025-10-14 21:18:21.689] COM15 → COM7: 31 (1)
[2025-10-14 21:18:21.691] COM7 → COM15: 44 (D)
[2025-10-14 21:18:21.692] COM15 → COM7: 44 (D)
[2025-10-14 21:18:21.694] COM7 → COM15: 43 (C)
[2025-10-14 21:18:21.695] COM15 → COM7: 43 (C)
[2025-10-14 21:18:21.696] COM7 → COM15: 32 (2)
[2025-10-14 21:18:21.698] COM15 → COM7: 32 (2)
[2025-10-14 21:18:21.699] COM7 → COM15: 42 (B)
[2025-10-14 21:18:21.700] COM15 → COM7: 42 (B)
[2025-10-14 21:18:21.702] COM7 → COM15: 3F (?)
[2025-10-14 21:18:21.703] COM15 → COM7: 3F (?)
[2025-10-14 21:18:21.705] COM7 → COM15: 57 (W)
[2025-10-14 21:18:21.706] COM15 → COM7: 57 (W)
[2025-10-14 21:18:21.708] COM7 → COM15: 30 (0)
[2025-10-14 21:18:21.709] COM15 → COM7: 30 (0)
[2025-10-14 21:18:21.711] COM7 → COM15: 32 (2)
[2025-10-14 21:18:21.712] COM15 → COM7: 32 (2)
[2025-10-14 21:18:21.713] COM7 → COM15: 30 (0)
[2025-10-14 21:18:21.715] COM15 → COM7: 30 (0)
[2025-10-14 21:18:21.716] COM7 → COM15: 31 (1)
[2025-10-14 21:18:21.717] COM15 → COM7: 31 (1)
[2025-10-14 21:18:21.719] COM7 → COM15: 45 (E)
[2025-10-14 21:18:21.720] COM15 → COM7: 45 (E)
[2025-10-14 21:18:21.722] COM7 → COM15: 31 (1)
[2025-10-14 21:18:21.723] COM15 → COM7: 31 (1)
[2025-10-14 21:18:21.725] COM7 → COM15: 30 (0)
[2025-10-14 21:18:21.726] COM15 → COM7: 30 (0)
[2025-10-14 21:18:21.728] COM7 → COM15: 31 (1)
[2025-10-14 21:18:21.729] COM15 → COM7: 31 (1)
[2025-10-14 21:18:21.731] COM7 → COM15: 3F (?)
[2025-10-14 21:18:21.732] COM15 → COM7: 3F (?)
[2025-10-14 21:18:21.734] COM7 → COM15: 57 (W)
[2025-10-14 21:18:21.735] COM15 → COM7: 57 (W)
[2025-10-14 21:18:21.736] COM7 → COM15: 46 (F)
[2025-10-14 21:18:21.738] COM15 → COM7: 46 (F)
[2025-10-14 21:18:21.740] COM7 → COM15: 46 (F)
[2025-10-14 21:18:21.742] COM15 → COM7: 46 (F)
