Serial Capture Session Started - 2025-10-14 21:29:15.871
Port 1: COM7, Port 2: COM15, Baud: 57600
================================================================================
ERROR in data transfer: The port is closed.
ERROR in data transfer: The port is closed.
ERROR in data transfer: The port is closed.
[2025-10-14 21:29:16.100] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.101] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.156] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.226] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.298] COM7 → COM15: 00 00 (..)
[2025-10-14 21:29:16.340] COM15 → COM7: 51 51 (QQ)
[2025-10-14 21:29:16.346] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.351] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.374] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.375] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.435] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.437] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.486] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.488] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.540] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.542] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.597] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.599] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.652] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.653] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.707] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.709] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.763] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.764] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.819] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.820] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.875] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.876] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.930] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.931] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:16.985] COM7 → COM15: 00 (.)
[2025-10-14 21:29:16.987] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.041] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.042] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.097] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.098] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.152] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.154] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.208] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.209] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.264] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.265] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.319] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.320] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.375] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.376] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.430] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.432] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.486] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.487] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.542] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.543] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.597] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.598] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.653] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.654] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.708] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.710] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.764] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.765] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.820] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.821] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.875] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.877] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.931] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.932] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:17.986] COM7 → COM15: 00 (.)
[2025-10-14 21:29:17.988] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.042] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.044] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.098] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.099] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.153] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.155] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.209] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.210] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.264] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.266] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.320] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.321] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.376] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.377] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.431] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.433] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.487] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.489] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.542] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.544] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.598] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.599] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.654] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.655] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.710] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.711] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.765] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.766] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.821] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.822] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.876] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.878] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.932] COM7 → COM15: 00 (.)
