High-Level Protocol Analysis - 2025-10-15 23:11:40.052
Software: COM7, Machine: COM15, Baud: 57600
================================================================================
[2025-10-15 23:11:41.076] Machine Data     : Q
[2025-10-15 23:11:43.845] Error Data       : ..................................................
[2025-10-15 23:11:43.903] Machine Data     : Q
[2025-10-15 23:11:44.568] Error Data       : ............
[2025-10-15 23:11:44.625] Machine Data     : Q
[2025-10-15 23:11:45.846] Error Data       : .....................
[2025-10-15 23:11:45.919] Software Command : RF?R57FF80
[2025-10-15 23:11:46.015] Machine Data     : B4A5000020DF002B797D03700FCE0C08535332FF0370FFFFFFFFFFFFFFFFFFFFO
[2025-10-15 23:11:46.275] Software Command : TrMEYQ
[2025-10-15 23:11:46.418] Machine Data     : O
[2025-10-15 23:11:46.867] Software Command : R200100
[2025-10-15 23:11:50.688] Machine Data     : 53524D5630332E30312000467269747A204765676175662041470D004F637420O
[2025-10-15 23:11:50.689] Software Command : R
[2025-10-15 23:11:50.717] Machine Data     : ?Q!QR
[2025-10-15 23:11:50.787] Error Data       : R
[2025-10-15 23:11:50.865] Software Command : RF?R200100
[2025-10-15 23:11:51.726] Machine Data     : 53524D5630332E30312000467269747A204765676175662041470D004F637420O
[2025-10-15 23:11:51.742] Software Command : R024004
[2025-10-15 23:11:51.801] Machine Data     : 00FFFED4000203FC000282AE00020422000201DC0002408000FFFEE400020424O
[2025-10-15 23:11:51.817] Software Command : RFFFED9
[2025-10-15 23:11:51.889] Machine Data     : 8300330000000000000000000000000200000100000000000000000000000000O
[2025-10-15 23:11:51.908] Software Command : R024040
[2025-10-15 23:11:55.263] Machine Data     : 000206A000020764000000000000000000000000000000000000000000000000O
[2025-10-15 23:11:55.264] Software Command : R
[2025-10-15 23:11:55.273] Machine Data     : ?
[2025-10-15 23:11:55.323] Error Data       : F
[2025-10-15 23:11:55.945] Software Command : R
[2025-10-15 23:11:55.946] Error Data       : k
[2025-10-15 23:11:55.949] Machine Data     : QQQ
[2025-10-15 23:11:56.014] Error Data       : F
[2025-10-15 23:11:56.091] Software Command : RF?R0206A0
[2025-10-15 23:11:59.830] Machine Data     : 1D1B2A0380002C070200000305000000FFFFFF00FC6000000000000000000000O
[2025-10-15 23:11:59.832] Software Command : R
[2025-10-15 23:11:59.879] Machine Data     : ?QQ!R
[2025-10-15 23:11:59.950] Error Data       : R
[2025-10-15 23:12:00.026] Software Command : RF?R0206A0
