Serial Capture Session Started - 2025-10-15 23:19:33.068
Software: COM7, Machine: COM15, Baud: 57600
================================================================================
[2025-10-15 23:19:58.382] Software → Machine: 54 (T)
[2025-10-15 23:19:58.385] Machine → Software: 54 (T)
[2025-10-15 23:19:58.395] Software → Machine: 72 (r)
[2025-10-15 23:19:58.396] Machine → Software: 72 (r)
[2025-10-15 23:19:58.398] Software → Machine: 4D (M)
[2025-10-15 23:19:58.398] Machine → Software: 4D (M)
[2025-10-15 23:19:58.400] Software → Machine: 45 (E)
[2025-10-15 23:19:58.401] Machine → Software: 45 (E)
[2025-10-15 23:19:58.644] Software → Machine: 59 (Y)
[2025-10-15 23:19:58.647] Machine → Software: 59 (Y)
[2025-10-15 23:19:58.649] Software → Machine: 51 (Q)
[2025-10-15 23:19:58.650] Machine → Software: 51 (Q)
[2025-10-15 23:19:58.790] Machine → Software: 4F (O)
[2025-10-15 23:19:58.808] Software → Machine: 57 (W)
[2025-10-15 23:19:59.226] Machine → Software: 57 (W)
[2025-10-15 23:19:59.228] Software → Machine: 46 (F)
[2025-10-15 23:19:59.229] Machine → Software: 46 (F)
[2025-10-15 23:19:59.231] Software → Machine: 46 (F)
[2025-10-15 23:19:59.232] Machine → Software: 46 (F)
[2025-10-15 23:19:59.234] Software → Machine: 46 (F)
[2025-10-15 23:19:59.236] Machine → Software: 46 (F)
[2025-10-15 23:19:59.238] Software → Machine: 45 (E)
[2025-10-15 23:19:59.239] Machine → Software: 45 (E)
[2025-10-15 23:19:59.241] Software → Machine: 44 (D)
[2025-10-15 23:19:59.242] Machine → Software: 44 (D)
[2025-10-15 23:19:59.244] Software → Machine: 30 (0)
[2025-10-15 23:19:59.245] Machine → Software: 30 (0)
[2025-10-15 23:19:59.247] Software → Machine: 30 (0)
[2025-10-15 23:19:59.248] Machine → Software: 30 (0)
[2025-10-15 23:19:59.249] Software → Machine: 30 (0)
[2025-10-15 23:19:59.251] Machine → Software: 30 (0)
[2025-10-15 23:19:59.252] Software → Machine: 41 (A)
[2025-10-15 23:19:59.253] Machine → Software: 41 (A)
[2025-10-15 23:19:59.255] Software → Machine: 31 (1)
[2025-10-15 23:19:59.256] Machine → Software: 31 (1)
[2025-10-15 23:19:59.258] Software → Machine: 3F (?)
[2025-10-15 23:19:59.762] Machine → Software: 3F (?)
[2025-10-15 23:19:59.764] Software → Machine: 52 (R)
