Serial Capture Session Started - 2025-10-15 23:17:24.622
Software: COM7, Machine: COM15, Baud: 57600
================================================================================
[2025-10-15 23:17:30.470] Software → Machine: 54 (T)
[2025-10-15 23:17:30.472] Machine → Software: 54 (T)
[2025-10-15 23:17:30.475] Software → Machine: 72 (r)
[2025-10-15 23:17:30.476] Machine → Software: 72 (r)
[2025-10-15 23:17:30.478] Software → Machine: 4D (M)
[2025-10-15 23:17:30.480] Machine → Software: 4D (M)
[2025-10-15 23:17:30.481] Software → Machine: 45 (E)
[2025-10-15 23:17:30.482] Machine → Software: 45 (E)
[2025-10-15 23:17:30.725] Software → Machine: 59 (Y)
[2025-10-15 23:17:30.728] Machine → Software: 59 (Y)
[2025-10-15 23:17:30.730] Software → Machine: 51 (Q)
[2025-10-15 23:17:30.731] Machine → Software: 51 (Q)
[2025-10-15 23:17:30.871] Machine → Software: 4F (O)
[2025-10-15 23:17:30.873] Software → Machine: 57 (W)
[2025-10-15 23:17:31.307] Machine → Software: 57 (W)
[2025-10-15 23:17:31.309] Software → Machine: 46 (F)
[2025-10-15 23:17:31.310] Machine → Software: 46 (F)
[2025-10-15 23:17:31.312] Software → Machine: 46 (F)
[2025-10-15 23:17:31.313] Machine → Software: 46 (F)
[2025-10-15 23:17:31.316] Software → Machine: 46 (F)
[2025-10-15 23:17:31.317] Machine → Software: 46 (F)
[2025-10-15 23:17:31.319] Software → Machine: 45 (E)
[2025-10-15 23:17:31.320] Machine → Software: 45 (E)
[2025-10-15 23:17:31.322] Software → Machine: 44 (D)
[2025-10-15 23:17:31.323] Machine → Software: 44 (D)
[2025-10-15 23:17:31.325] Software → Machine: 30 (0)
[2025-10-15 23:17:31.326] Machine → Software: 30 (0)
[2025-10-15 23:17:31.328] Software → Machine: 30 (0)
[2025-10-15 23:17:31.329] Machine → Software: 30 (0)
[2025-10-15 23:17:31.331] Software → Machine: 30 (0)
[2025-10-15 23:17:31.333] Machine → Software: 30 (0)
[2025-10-15 23:17:31.335] Software → Machine: 41 (A)
[2025-10-15 23:17:31.336] Machine → Software: 41 (A)
[2025-10-15 23:17:31.337] Software → Machine: 31 (1)
[2025-10-15 23:17:31.339] Machine → Software: 31 (1)
[2025-10-15 23:17:31.340] Software → Machine: 3F (?)
[2025-10-15 23:17:31.845] Machine → Software: 3F (?)
[2025-10-15 23:17:31.847] Software → Machine: 52 (R)
