Serial Capture Session Started - 2025-10-19 21:08:44.965
Software: COM7, Machine: COM15, Baud: 19200
================================================================================
*** Forwarding ENABLED - 'R' received from Software ***
[2025-10-19 21:08:49.014] Software → Machine: 52 (R)
[2025-10-19 21:08:49.018] Machine → Software: 52 (R)
[2025-10-19 21:08:49.032] Software → Machine: 46 (F)
[2025-10-19 21:08:49.034] Machine → Software: 46 (F)
[2025-10-19 21:08:49.052] Software → Machine: 3F (?)
[2025-10-19 21:08:49.055] Machine → Software: 3F (?)
[2025-10-19 21:08:49.072] Software → Machine: 52 (R)
[2025-10-19 21:08:49.074] Machine → Software: 52 (R)
[2025-10-19 21:08:49.078] Software → Machine: 35 (5)
[2025-10-19 21:08:49.081] Machine → Software: 35 (5)
[2025-10-19 21:08:49.085] Software → Machine: 37 (7)
[2025-10-19 21:08:49.087] Machine → Software: 37 (7)
[2025-10-19 21:08:49.091] Software → Machine: 46 (F)
[2025-10-19 21:08:49.092] Machine → Software: 46 (F)
[2025-10-19 21:08:49.096] Software → Machine: 46 (F)
[2025-10-19 21:08:49.098] Machine → Software: 46 (F)
[2025-10-19 21:08:49.102] Software → Machine: 38 (8)
[2025-10-19 21:08:49.103] Machine → Software: 38 (8)
[2025-10-19 21:08:49.107] Software → Machine: 30 (0)
[2025-10-19 21:08:49.109] Machine → Software: 30 (0)
[2025-10-19 21:08:49.111] Machine → Software: 42 (B)
[2025-10-19 21:08:49.112] Machine → Software: 34 41 (4A)
[2025-10-19 21:08:49.147] Machine → Software: 35 30 30 30 30 32 30 44 46 30 30 32 42 37 39 37 44 30 (5000020DF002B797D0)
[2025-10-19 21:08:49.167] Machine → Software: 33 37 30 30 46 43 45 30 43 30 38 35 33 35 33 33 32 46 46 30 33 37 30 46 46 46 (3700FCE0C08535332FF0370FFF)
[2025-10-19 21:08:49.185] Machine → Software: 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 4F (FFFFFFFFFFFFFFFFFO)
[2025-10-19 21:08:49.190] Software → Machine: 54 (T)
[2025-10-19 21:08:49.191] Machine → Software: 54 (T)
[2025-10-19 21:08:49.195] Software → Machine: 72 (r)
[2025-10-19 21:08:49.197] Machine → Software: 72 (r)
[2025-10-19 21:08:49.201] Software → Machine: 4D (M)
[2025-10-19 21:08:49.202] Machine → Software: 4D (M)
[2025-10-19 21:08:49.206] Software → Machine: 45 (E)
[2025-10-19 21:08:49.209] Machine → Software: 45 (E)
[2025-10-19 21:08:49.213] Software → Machine: 52 (R)
[2025-10-19 21:08:49.368] Machine → Software: 52 (R)
[2025-10-19 21:08:49.372] Software → Machine: 32 (2)
[2025-10-19 21:08:49.374] Machine → Software: 32 (2)
[2025-10-19 21:08:49.377] Software → Machine: 30 (0)
[2025-10-19 21:08:49.379] Machine → Software: 30 (0)
[2025-10-19 21:08:49.383] Software → Machine: 30 (0)
[2025-10-19 21:08:49.384] Machine → Software: 30 (0)
[2025-10-19 21:08:49.388] Software → Machine: 31 (1)
[2025-10-19 21:08:49.390] Machine → Software: 31 (1)
[2025-10-19 21:08:49.394] Software → Machine: 30 (0)
[2025-10-19 21:08:49.395] Machine → Software: 30 (0)
[2025-10-19 21:08:49.399] Software → Machine: 30 (0)
[2025-10-19 21:08:49.400] Machine → Software: 30 (0)
[2025-10-19 21:08:49.402] Machine → Software: 34 (4)
[2025-10-19 21:08:49.405] Machine → Software: 45 34 (E4)
[2025-10-19 21:08:49.406] Machine → Software: 44 (D)
[2025-10-19 21:08:49.407] Machine → Software: 34 44 (4D)
[2025-10-19 21:08:49.408] Machine → Software: 35 (5)
[2025-10-19 21:08:49.409] Machine → Software: 36 (6)
[2025-10-19 21:08:49.410] Machine → Software: 33 (3)
[2025-10-19 21:08:49.411] Machine → Software: 30 (0)
[2025-10-19 21:08:49.412] Machine → Software: 33 (3)
[2025-10-19 21:08:49.412] Machine → Software: 33 (3)
[2025-10-19 21:08:49.413] Machine → Software: 32 (2)
[2025-10-19 21:08:49.414] Machine → Software: 45 (E)
[2025-10-19 21:08:49.415] Machine → Software: 33 (3)
[2025-10-19 21:08:49.416] Machine → Software: 30 (0)
[2025-10-19 21:08:49.417] Machine → Software: 33 (3)
[2025-10-19 21:08:49.418] Machine → Software: 31 (1)
[2025-10-19 21:08:49.419] Machine → Software: 30 (0)
[2025-10-19 21:08:49.420] Machine → Software: 30 34 (04)
[2025-10-19 21:08:49.422] Machine → Software: 35 (5)
[2025-10-19 21:08:49.423] Machine → Software: 36 45 (6E)
[2025-10-19 21:08:49.424] Machine → Software: 36 (6)
[2025-10-19 21:08:49.425] Machine → Software: 37 (7)
[2025-10-19 21:08:49.426] Machine → Software: 36 (6)
[2025-10-19 21:08:49.427] Machine → Software: 43 (C)
[2025-10-19 21:08:49.428] Machine → Software: 36 (6)
[2025-10-19 21:08:49.429] Machine → Software: 39 (9)
[2025-10-19 21:08:49.430] Machine → Software: 37 (7)
[2025-10-19 21:08:49.431] Machine → Software: 33 (3)
[2025-10-19 21:08:49.431] Machine → Software: 36 (6)
[2025-10-19 21:08:49.433] Machine → Software: 38 (8)
[2025-10-19 21:08:49.434] Machine → Software: 32 (2)
[2025-10-19 21:08:49.434] Machine → Software: 30 (0)
[2025-10-19 21:08:49.436] Machine → Software: 32 (2)
